ID Поездки;ID Водителя;ID Автомобиля;"Дата и время
начала поездки";Длина поездки, км
192;10;36;19.04.2023 4:11;5,4
193;18;10;19.04.2023 4:41;55,7
194;47;31;19.04.2023 5:09;22,3
195;15;35;19.04.2023 5:26;38,1
196;4;6;19.04.2023 5:27;8,5
197;31;13;19.04.2023 6:30;58,1
198;25;23;19.04.2023 10:10;57,4
199;36;32;19.04.2023 14:58;14,4
200;31;13;19.04.2023 15:20;54,0
201;63;28;19.04.2023 19:41;4,2
202;54;11;19.04.2023 20:16;30,7
203;33;39;19.04.2023 21:13;7,4
204;61;39;19.04.2023 21:38;11,6
205;38;19;19.04.2023 22:37;58,9
206;25;22;20.04.2023 1:09;24,7
207;27;2;20.04.2023 5:27;29,3
208;40;8;20.04.2023 9:14;45,8
209;55;27;20.04.2023 10:23;29,4
210;5;5;20.04.2023 12:30;17,0
211;10;12;20.04.2023 12:56;42,9
212;55;27;20.04.2023 13:58;20,5
213;16;37;20.04.2023 15:09;53,8
214;31;26;20.04.2023 18:14;26,1
215;11;40;20.04.2023 18:17;42,8
216;17;32;20.04.2023 19:11;16,8
217;36;6;20.04.2023 20:22;53,1
218;54;15;20.04.2023 22:26;10,3
219;37;19;20.04.2023 22:27;7,4
220;26;17;21.04.2023 0:40;16,0
221;19;5;21.04.2023 3:23;5,9
222;63;23;21.04.2023 4:34;6,9
223;17;6;21.04.2023 6:04;58,2
224;23;33;21.04.2023 7:00;1,7
225;45;30;21.04.2023 7:06;17,7
226;36;6;21.04.2023 9:16;40,2
227;49;30;21.04.2023 11:01;50,5
228;54;11;21.04.2023 12:10;9,9
229;62;38;21.04.2023 12:52;50,9
230;40;8;21.04.2023 13:06;23,0
231;6;6;21.04.2023 15:07;16,2
232;21;40;21.04.2023 17:38;21,7
233;23;33;21.04.2023 19:01;45,7
234;16;11;21.04.2023 19:26;13,4
235;38;21;21.04.2023 20:10;50,5
236;37;38;21.04.2023 21:05;10,5
237;31;22;21.04.2023 22:46;32,1
238;17;6;22.04.2023 0:01;37,5
239;45;31;22.04.2023 0:01;28,4
240;39;15;22.04.2023 0:36;4,4
241;26;39;22.04.2023 1:13;53,8
242;15;10;22.04.2023 2:28;46,6
243;35;3;22.04.2023 4:35;20,7
244;45;31;22.04.2023 6:47;24,2
245;2;18;22.04.2023 7:54;39,0
246;47;27;22.04.2023 8:10;30,0
247;12;20;22.04.2023 9:14;20,3
248;7;1;22.04.2023 11:08;14,1
249;39;11;22.04.2023 17:53;22,5
250;47;29;22.04.2023 18:35;16,9
251;23;7;22.04.2023 18:39;22,3
252;40;11;22.04.2023 19:12;17,2
253;18;19;22.04.2023 20:58;53,1
254;56;10;22.04.2023 21:48;20,5
255;39;37;23.04.2023 1:16;37,5
256;6;6;23.04.2023 2:29;28,8
257;16;33;23.04.2023 3:26;30,9
258;17;32;23.04.2023 3:50;8,0
259;29;32;23.04.2023 6:26;57,6
260;1;3;23.04.2023 8:15;11,2
261;37;38;23.04.2023 8:19;39,1
262;7;1;23.04.2023 9:09;39,4
263;15;10;23.04.2023 9:10;59,5
264;13;9;23.04.2023 10:04;5,0
265;26;17;23.04.2023 13:34;40,7
266;37;14;23.04.2023 16:07;45,8
267;56;10;23.04.2023 16:11;50,0
268;39;37;23.04.2023 16:14;16,3
269;61;2;23.04.2023 16:21;45,5
270;14;14;23.04.2023 16:47;4,4
271;53;38;23.04.2023 19:06;53,0
272;33;9;23.04.2023 20:22;45,9
273;19;18;23.04.2023 22:29;4,2
274;22;1;23.04.2023 22:50;54,1
275;50;2;24.04.2023 0:26;41,4
276;37;35;24.04.2023 3:20;57,2
277;36;6;24.04.2023 3:27;14,0
278;41;7;24.04.2023 6:14;21,3
279;1;12;24.04.2023 7:05;52,8
280;57;34;24.04.2023 8:31;18,7
281;15;38;24.04.2023 9:20;35,5
282;49;29;24.04.2023 12:00;50,9
283;53;19;24.04.2023 14:12;14,4
284;28;41;24.04.2023 15:11;46,1
285;24;1;24.04.2023 15:18;48,3
286;18;41;24.04.2023 16:50;27,4
287;17;6;24.04.2023 17:55;38,4
288;14;10;24.04.2023 19:21;4,8
289;52;39;24.04.2023 19:23;24,9
290;44;6;24.04.2023 21:14;29,4
291;43;32;24.04.2023 21:50;41,3
292;38;10;24.04.2023 21:56;10,1
293;5;5;24.04.2023 22:24;23,9
294;4;6;24.04.2023 22:31;40,4
295;18;14;24.04.2023 23:02;32,7
296;15;35;25.04.2023 0:51;7,0
297;22;25;25.04.2023 0:54;32,8
298;61;39;25.04.2023 2:48;18,3
299;32;14;25.04.2023 3:54;51,8
300;10;24;25.04.2023 4:21;7,1
301;27;39;25.04.2023 4:58;9,6
302;28;21;25.04.2023 6:07;26,8
303;48;38;25.04.2023 6:16;26,1
304;24;25;25.04.2023 7:33;40,7
305;51;33;25.04.2023 7:43;29,2
306;54;33;25.04.2023 12:29;18,4
307;23;8;25.04.2023 15:00;52,5
308;49;31;25.04.2023 17:01;20,1
309;2;24;25.04.2023 17:01;12,6
310;12;31;25.04.2023 17:37;49,1
311;55;29;25.04.2023 17:39;55,6
312;32;38;25.04.2023 19:47;3,1
313;15;10;25.04.2023 20:07;46,4
314;62;38;25.04.2023 21:18;38,6
315;8;37;25.04.2023 22:29;9,8
316;52;4;25.04.2023 22:47;36,8
317;52;17;26.04.2023 0:43;30,9
318;31;22;26.04.2023 1:28;2,2
319;36;32;26.04.2023 2:09;34,2
320;24;25;26.04.2023 3:52;11,6
321;47;29;26.04.2023 6:57;38,0
322;25;23;26.04.2023 7:36;26,7
323;3;6;26.04.2023 9:46;57,0
324;3;6;26.04.2023 11:59;46,6
325;4;32;26.04.2023 12:52;48,8
326;37;41;26.04.2023 13:12;39,5
327;13;39;26.04.2023 13:38;50,4
328;56;10;26.04.2023 14:33;59,9
329;40;40;26.04.2023 14:43;40,8
330;13;39;26.04.2023 16:23;18,8
331;20;21;26.04.2023 16:36;46,4
332;15;21;26.04.2023 18:12;35,9
333;38;19;26.04.2023 19:05;29,4
334;44;32;26.04.2023 20:04;47,0
335;14;10;26.04.2023 20:56;40,7
336;10;36;26.04.2023 21:48;45,2
337;37;21;26.04.2023 23:02;19,2
338;45;27;26.04.2023 23:18;22,2
339;16;7;27.04.2023 2:59;59,7
340;51;15;27.04.2023 5:04;7,1
341;35;5;27.04.2023 5:55;19,2
342;37;35;27.04.2023 6:21;37,5
343;40;11;27.04.2023 10:01;6,5
344;62;21;27.04.2023 10:03;29,6
345;18;21;27.04.2023 12:22;45,9
346;23;15;27.04.2023 12:50;29,4
347;63;22;27.04.2023 14:04;43,0
348;47;29;27.04.2023 15:03;46,9
349;11;37;27.04.2023 17:19;53,0
350;4;6;27.04.2023 17:22;19,0
351;49;31;27.04.2023 19:21;59,2
352;46;21;27.04.2023 19:38;56,6
353;52;4;27.04.2023 21:17;3,2
354;45;31;27.04.2023 22:54;48,2
355;31;13;28.04.2023 1:18;12,4
356;48;10;28.04.2023 1:29;38,0
357;13;4;28.04.2023 8:14;12,2
358;2;5;28.04.2023 8:40;12,3
359;26;17;28.04.2023 10:52;2,1
360;14;21;28.04.2023 11:01;7,8
361;28;10;28.04.2023 12:44;43,8
362;2;24;28.04.2023 16:16;53,6
363;34;32;28.04.2023 17:13;34,5
364;34;6;28.04.2023 18:01;29,3
365;49;30;28.04.2023 18:05;43,2
366;9;20;28.04.2023 21:36;6,3
367;14;14;28.04.2023 22:53;26,4
368;37;38;29.04.2023 1:50;8,1
369;56;10;29.04.2023 3:13;45,0
370;4;32;29.04.2023 5:42;39,0
371;47;31;29.04.2023 7:51;2,6
372;35;5;29.04.2023 9:43;12,2
373;59;17;29.04.2023 10:35;37,3
374;25;28;29.04.2023 11:10;12,3
375;16;8;29.04.2023 12:58;4,2
376;32;41;29.04.2023 14:54;43,9
377;63;26;29.04.2023 15:42;51,6
378;33;39;29.04.2023 15:57;57,4
379;22;25;29.04.2023 16:05;32,9
380;14;10;29.04.2023 18:08;57,5
381;60;23;29.04.2023 21:05;42,5
382;46;38;29.04.2023 22:22;20,7
383;3;32;29.04.2023 23:30;21,3
384;47;20;30.04.2023 0:09;24,2
385;40;8;30.04.2023 0:42;8,2
386;7;16;30.04.2023 0:50;42,7
387;39;11;30.04.2023 1:52;37,2
388;60;22;30.04.2023 2:13;6,3
389;2;24;30.04.2023 2:51;16,3
390;13;9;30.04.2023 3:58;15,5
391;3;32;30.04.2023 7:58;35,5
392;59;4;30.04.2023 8:38;5,2
393;59;9;30.04.2023 11:17;32,4
394;21;37;30.04.2023 11:24;18,0
395;9;20;30.04.2023 11:58;9,9
396;33;17;30.04.2023 12:47;40,7
397;48;21;30.04.2023 16:43;42,1
398;27;4;30.04.2023 17:36;19,4
399;44;32;30.04.2023 19:43;5,6
400;16;8;30.04.2023 21:51;3,5
401;27;4;30.04.2023 22:38;16,3
402;47;29;30.04.2023 22:53;18,0
403;21;37;30.04.2023 23:05;20,8
404;2;12;01.05.2023 5:05;47,8
405;30;34;01.05.2023 8:14;57,9
406;63;28;01.05.2023 8:36;24,8
407;11;40;01.05.2023 9:05;5,6
408;22;16;01.05.2023 9:56;47,7
409;43;6;01.05.2023 17:51;49,2
410;37;19;01.05.2023 18:12;46,3
411;45;31;01.05.2023 18:48;9,0
412;5;12;01.05.2023 19:51;20,1
413;42;42;01.05.2023 20:03;34,3
414;41;37;01.05.2023 20:45;17,5
415;46;19;01.05.2023 20:48;28,3
416;4;6;01.05.2023 20:56;16,1
417;44;6;01.05.2023 21:33;43,2
418;46;14;01.05.2023 21:47;27,8
419;5;3;02.05.2023 2:50;2,3
420;33;39;02.05.2023 2:53;45,1
421;37;19;02.05.2023 3:11;37,1
422;19;5;02.05.2023 5:13;32,0
423;56;14;02.05.2023 7:43;34,2
424;12;31;02.05.2023 8:03;27,4
425;31;23;02.05.2023 12:55;33,4
426;17;6;02.05.2023 13:15;47,0
427;39;7;02.05.2023 13:37;12,6
428;37;41;02.05.2023 15:10;17,0
429;8;15;02.05.2023 16:06;38,9
430;25;28;02.05.2023 17:30;53,6
431;51;15;02.05.2023 17:40;46,5
432;47;30;02.05.2023 18:55;53,1
433;19;18;02.05.2023 20:07;27,0
434;27;17;02.05.2023 20:23;58,7
435;62;38;02.05.2023 22:34;34,6
436;49;30;03.05.2023 0:09;47,3
437;59;39;03.05.2023 2:50;20,1
438;39;11;03.05.2023 4:14;59,2
439;60;13;03.05.2023 4:48;35,0
440;58;9;03.05.2023 5:09;3,0
441;55;31;03.05.2023 5:12;51,6
442;6;32;03.05.2023 5:49;15,7
443;32;21;03.05.2023 7:23;16,0
444;26;2;03.05.2023 7:35;45,1
445;47;30;03.05.2023 8:41;35,0
446;40;40;03.05.2023 8:59;20,9
447;17;6;03.05.2023 10:05;51,0
448;3;6;03.05.2023 10:13;7,3
449;19;12;03.05.2023 12:17;31,5
450;55;30;03.05.2023 12:43;47,8
451;59;4;03.05.2023 13:05;15,8
452;32;19;03.05.2023 14:44;55,5
453;21;8;03.05.2023 15:15;18,2
454;27;17;03.05.2023 16:31;33,9
455;39;7;03.05.2023 18:18;59,6
456;18;10;03.05.2023 18:31;35,0
457;60;28;03.05.2023 19:24;40,0
458;44;6;03.05.2023 19:29;23,2
459;43;32;04.05.2023 1:06;52,4
460;22;25;04.05.2023 1:06;51,0
461;15;35;04.05.2023 1:14;47,1
462;3;6;04.05.2023 1:58;14,4
463;28;19;04.05.2023 4:23;42,1
464;51;37;04.05.2023 5:23;53,2
465;46;38;04.05.2023 8:38;12,9
466;24;1;04.05.2023 8:58;5,2
467;11;8;04.05.2023 9:14;6,7
468;52;17;04.05.2023 9:14;19,4
469;53;41;04.05.2023 11:15;16,3
470;47;20;04.05.2023 13:27;52,5
471;19;24;04.05.2023 15:23;57,5
472;21;7;04.05.2023 17:38;27,6
473;25;23;04.05.2023 21:29;13,0
474;30;34;04.05.2023 21:32;41,5
475;3;6;04.05.2023 23:45;52,9
476;52;17;05.05.2023 0:16;55,2
477;21;33;05.05.2023 1:12;18,2
478;4;32;05.05.2023 1:33;53,1
479;7;1;05.05.2023 2:49;41,9
480;16;15;05.05.2023 5:36;41,5
481;2;3;05.05.2023 7:06;30,4
482;61;9;05.05.2023 7:24;1,7
483;60;13;05.05.2023 8:13;22,8
484;62;41;05.05.2023 8:56;39,8
485;10;34;05.05.2023 9:32;3,0
486;36;6;05.05.2023 9:39;48,5
487;21;7;05.05.2023 10:53;32,7
488;35;5;05.05.2023 15:51;38,0
489;55;31;05.05.2023 16:41;2,6
490;9;30;05.05.2023 18:03;2,2
491;27;4;05.05.2023 18:23;35,9
492;36;32;05.05.2023 19:58;11,3
493;11;7;05.05.2023 20:12;22,6
494;11;33;05.05.2023 20:39;22,0
495;12;29;05.05.2023 23:06;10,2
496;4;6;06.05.2023 4:44;15,1
497;37;10;06.05.2023 6:55;45,8
498;7;25;06.05.2023 10:46;6,5
499;51;37;06.05.2023 13:29;28,5
500;41;8;06.05.2023 18:36;47,1
501;32;19;06.05.2023 21:36;46,6
502;23;33;07.05.2023 0:31;56,1
503;7;42;07.05.2023 0:39;26,7
504;40;40;07.05.2023 7:14;2,8
505;1;18;07.05.2023 13:47;24,7
506;60;26;07.05.2023 14:17;54,3
507;40;40;07.05.2023 16:03;45,2
508;25;22;07.05.2023 19:34;22,6
509;3;32;07.05.2023 19:40;18,0
510;44;6;07.05.2023 21:45;48,8
511;51;7;07.05.2023 22:16;35,4
512;20;14;07.05.2023 22:31;51,4
513;47;20;07.05.2023 22:33;7,8
514;16;7;08.05.2023 0:15;27,6
515;2;18;08.05.2023 3:55;47,6
516;28;19;08.05.2023 6:19;8,6
517;59;9;08.05.2023 11:02;3,9
518;27;39;08.05.2023 14:49;15,5
519;50;17;08.05.2023 16:32;16,1
520;5;34;08.05.2023 21:39;10,2
521;52;2;08.05.2023 21:43;46,7
522;24;25;08.05.2023 21:57;17,9
523;3;6;08.05.2023 23:13;58,7
524;13;17;09.05.2023 0:30;24,4
525;25;26;09.05.2023 4:09;29,5
526;41;7;09.05.2023 4:56;56,7
527;11;40;09.05.2023 6:06;22,8
528;2;5;09.05.2023 6:14;45,2
529;18;21;09.05.2023 7:09;49,7
530;35;3;09.05.2023 8:46;15,9
531;52;4;09.05.2023 8:51;39,8
532;12;31;09.05.2023 9:03;47,9
533;28;38;09.05.2023 10:08;12,5
534;50;2;09.05.2023 11:37;50,7
535;27;9;09.05.2023 13:22;33,7
536;21;37;09.05.2023 14:53;11,6
537;34;32;09.05.2023 16:02;35,8
538;30;5;09.05.2023 16:19;13,9
539;9;31;09.05.2023 16:19;55,2
540;57;34;09.05.2023 19:38;6,1
541;1;5;09.05.2023 19:42;35,5
542;53;21;09.05.2023 20:17;12,6
543;37;38;09.05.2023 20:50;33,4
544;58;2;09.05.2023 21:34;6,6
545;39;40;09.05.2023 23:24;49,0
546;11;8;10.05.2023 1:42;56,5
547;24;42;10.05.2023 5:55;27,3
548;32;41;10.05.2023 7:31;33,9
549;44;6;10.05.2023 8:06;36,1
550;40;8;10.05.2023 8:20;25,8
551;22;16;10.05.2023 8:50;52,0
552;44;32;10.05.2023 9:58;7,5
553;13;4;10.05.2023 10:08;32,2
554;39;11;10.05.2023 10:35;26,4
555;42;1;10.05.2023 12:28;25,8
556;51;37;10.05.2023 12:36;57,3
557;33;39;10.05.2023 13:55;33,2
558;43;32;10.05.2023 13:59;38,0
559;60;28;10.05.2023 16:33;32,2
560;6;6;10.05.2023 16:37;33,4
561;8;11;10.05.2023 18:32;39,5
562;24;42;10.05.2023 19:15;23,7
563;46;35;10.05.2023 23:06;28,0
564;17;6;10.05.2023 23:52;18,8
565;52;39;11.05.2023 3:53;59,0
566;54;8;11.05.2023 4:02;35,6
567;28;21;11.05.2023 4:59;33,2
568;36;32;11.05.2023 5:16;29,8
569;8;7;11.05.2023 6:33;15,0
570;9;29;11.05.2023 7:30;56,9
571;56;21;11.05.2023 9:10;36,8
572;41;7;11.05.2023 11:33;7,3
573;15;19;11.05.2023 11:48;33,4
574;43;32;11.05.2023 15:37;41,5
575;33;17;11.05.2023 16:08;25,2
576;12;27;11.05.2023 19:49;54,2
577;22;42;11.05.2023 20:38;58,5
578;2;24;11.05.2023 22:51;33,2
579;42;42;11.05.2023 23:51;19,8
580;31;26;11.05.2023 23:52;43,1
581;6;32;12.05.2023 0:54;19,7
582;36;32;12.05.2023 1:20;5,2
583;37;35;12.05.2023 2:39;49,1
584;35;36;12.05.2023 5:48;47,6
585;49;20;12.05.2023 5:59;40,7
586;56;10;12.05.2023 6:14;44,8
587;54;15;12.05.2023 8:20;33,8
588;40;33;12.05.2023 8:34;46,2
589;23;40;12.05.2023 10:14;28,5
590;50;9;12.05.2023 10:15;10,3
591;43;6;12.05.2023 10:19;58,0
592;10;34;12.05.2023 12:34;3,8
593;10;24;12.05.2023 13:13;45,8
594;56;10;12.05.2023 13:35;19,5
595;42;16;12.05.2023 15:22;13,3
596;44;6;12.05.2023 16:41;14,5
597;50;2;12.05.2023 16:55;26,3
598;60;23;12.05.2023 17:09;19,3
599;13;17;12.05.2023 20:40;33,9
600;9;27;12.05.2023 21:22;4,0
601;48;35;13.05.2023 0:55;41,7
602;5;12;13.05.2023 2:11;27,8
603;40;37;13.05.2023 2:30;56,4
604;14;41;13.05.2023 2:57;30,2
605;36;32;13.05.2023 3:49;43,4
606;1;5;13.05.2023 4:46;38,0
607;48;14;13.05.2023 5:06;42,4
608;41;33;13.05.2023 9:30;21,8
609;3;6;13.05.2023 10:30;5,3
610;3;32;13.05.2023 11:26;21,0
611;23;7;13.05.2023 12:17;42,6
612;55;30;13.05.2023 15:05;27,0
613;50;9;13.05.2023 15:41;44,0
614;29;6;13.05.2023 18:00;41,9
615;31;26;13.05.2023 18:45;41,4
616;24;1;13.05.2023 19:40;24,8
617;37;19;13.05.2023 21:39;40,6
618;24;42;14.05.2023 0:46;28,2
619;7;1;14.05.2023 1:31;33,7
620;63;13;14.05.2023 7:42;20,1
621;31;26;14.05.2023 10:04;30,6
622;57;12;14.05.2023 11:36;47,7
623;20;35;14.05.2023 11:40;32,2
624;44;32;14.05.2023 12:19;8,9
625;55;31;14.05.2023 23:58;25,0
626;14;38;15.05.2023 0:15;5,6
627;9;27;15.05.2023 0:43;3,7
628;14;41;15.05.2023 2:43;26,7
629;43;32;15.05.2023 4:18;35,3
630;46;19;15.05.2023 5:09;21,1
631;36;32;15.05.2023 5:29;46,9
632;60;26;15.05.2023 6:50;12,8
633;20;10;15.05.2023 7:53;58,5
634;41;7;15.05.2023 7:53;34,2
635;1;24;15.05.2023 8:49;6,2
636;27;2;15.05.2023 10:16;35,3
637;22;1;15.05.2023 10:20;25,3
638;15;10;15.05.2023 13:17;37,2
639;32;10;15.05.2023 13:19;51,7
640;31;23;15.05.2023 14:23;7,4
641;12;27;15.05.2023 15:16;16,4
642;36;6;15.05.2023 15:17;50,9
643;37;19;15.05.2023 18:26;4,8
644;23;33;15.05.2023 18:52;4,2
645;28;10;15.05.2023 19:02;57,5
646;3;6;15.05.2023 19:26;20,4
647;52;9;15.05.2023 21:09;51,0
648;22;16;15.05.2023 23:14;29,6
649;21;11;15.05.2023 23:46;58,1
650;37;19;16.05.2023 0:01;4,5
651;62;41;16.05.2023 3:07;3,2
652;14;35;16.05.2023 3:13;20,4
653;28;21;16.05.2023 3:58;21,0
654;62;41;16.05.2023 5:20;10,2
655;13;9;16.05.2023 5:54;52,4
656;43;6;16.05.2023 6:03;12,2
657;1;36;16.05.2023 14:07;15,2
658;47;27;16.05.2023 15:20;17,5
659;36;32;16.05.2023 15:38;59,7
660;15;14;16.05.2023 16:01;4,6
661;43;32;16.05.2023 17:22;13,7
662;54;7;16.05.2023 17:45;51,4
